query_id,intervention_id,intervention,split,molecule_type,component_count,canonical_smiles,connectivity_smiles,component_canonical_smiles,component_connectivity_smiles,mechanism_hint,expected_surrogates,expected_pair_ids,primary_pathways,primary_hallmarks,selfies_source_smiles,selfies_sequence,selfies_conversion_status
mol_query_metformin,metformin,Metformin,train,single_molecule,1,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,AMPK activation and glucose homeostasis,HbA1c|fasting insulin|HOMA-IR|GDF15|CRP|IL6,metformin_hba1c|metformin_fasting_insulin|metformin_homa_ir|metformin_gdf15|metformin_crp|metformin_il6,glucose metabolism|insulin signaling|integrated stress response|inflammation signaling,deregulated nutrient sensing|cellular senescence|inflammaging,CN(C)C(=N)N=C(N)N,,pending_selfies_conversion
mol_query_rapamycin,rapamycin,Rapamycin,val,single_molecule,1,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,mTOR inhibition and autophagy,IL6|CRP|epigenetic clock|IGF-1|fasting insulin|GDF15,rapamycin_il6|rapamycin_crp|rapamycin_epigenetic_clock|rapamycin_igf_1|rapamycin_fasting_insulin|rapamycin_gdf15,cytokine signaling|inflammation signaling|aging clocks|insulin IGF signaling,inflammaging|genomic instability|deregulated nutrient sensing|cellular senescence,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,,pending_selfies_conversion
mol_query_acarbose,acarbose,Acarbose,train,single_molecule,1,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,postprandial glucose modulation,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,glucose metabolism|insulin signaling|lipid metabolism|inflammation signaling,deregulated nutrient sensing|inflammaging,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,,pending_selfies_conversion
mol_query_semaglutide,semaglutide,Semaglutide,test,single_molecule,1,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,GLP-1 receptor agonism and satiety signaling,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|LDL-C,semaglutide_hba1c|semaglutide_fasting_glucose|semaglutide_body_fat_percentage|semaglutide_fasting_insulin|semaglutide_triglycerides|semaglutide_ldl_c,glucose metabolism|energy balance|insulin signaling|lipid metabolism,deregulated nutrient sensing,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,,pending_selfies_conversion
mol_query_liraglutide,liraglutide,Liraglutide,train,single_molecule,1,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,GLP-1 receptor agonism and metabolic regulation,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|CRP,liraglutide_hba1c|liraglutide_fasting_glucose|liraglutide_body_fat_percentage|liraglutide_fasting_insulin|liraglutide_triglycerides|liraglutide_crp,glucose metabolism|energy balance|insulin signaling|lipid metabolism,deregulated nutrient sensing|inflammaging,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CC6=CN=CN6)N)C(=O)O,,pending_selfies_conversion
mol_query_empagliflozin,empagliflozin,Empagliflozin,train,single_molecule,1,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,glucose metabolism|cardiac stress|insulin signaling|energy balance,deregulated nutrient sensing|altered intercellular communication|inflammaging,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,,pending_selfies_conversion
mol_query_dasatinib_quercetin,dasatinib_quercetin,Dasatinib + Quercetin,test,combination,2,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO|C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO|C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,senolytic combination targeting senescent cell survival pathways,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,secretory phenotype|cell cycle arrest|cytokine signaling|integrated stress response,cellular senescence|inflammaging,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,,pending_selfies_conversion
mol_query_fisetin,fisetin,Fisetin,train,single_molecule,1,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,senolytic flavonoid with anti-inflammatory and stress-response effects,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15,secretory phenotype|cell cycle arrest|cytokine signaling|integrated stress response,cellular senescence|inflammaging,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,,pending_selfies_conversion
mol_query_nicotinamide_riboside,nicotinamide_riboside,Nicotinamide Riboside,train,single_molecule,1,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,NAD+ precursor supporting mitochondrial energetics,NAD+ NADH ratio|ATP production|mtDNA copy number|fasting insulin|CRP|IL6,nicotinamide_riboside_nad_nadh_ratio|nicotinamide_riboside_atp_production|nicotinamide_riboside_mtdna_copy_number|nicotinamide_riboside_fasting_insulin|nicotinamide_riboside_crp|nicotinamide_riboside_il6,redox balance|bioenergetics|mitochondrial maintenance|insulin signaling,mitochondrial dysfunction|deregulated nutrient sensing|inflammaging,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,,pending_selfies_conversion
mol_query_nmn,nmn,NMN,val,single_molecule,1,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,NAD+ precursor supporting redox balance and metabolic resilience,NAD+ NADH ratio|ATP production|mtDNA copy number|epigenetic clock|fasting insulin|CRP,nmn_nad_nadh_ratio|nmn_atp_production|nmn_mtdna_copy_number|nmn_epigenetic_clock|nmn_fasting_insulin|nmn_crp,redox balance|bioenergetics|mitochondrial maintenance|aging clocks,mitochondrial dysfunction|genomic instability|deregulated nutrient sensing|inflammaging,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,,pending_selfies_conversion
mol_query_spermidine,spermidine,Spermidine,train,single_molecule,1,C(CCNCCCN)CN,C(CCNCCCN)CN,C(CCNCCCN)CN,C(CCNCCCN)CN,autophagy induction and cellular maintenance,epigenetic clock|CRP|IL6|mtDNA copy number|GDF15,spermidine_epigenetic_clock|spermidine_crp|spermidine_il6|spermidine_mtdna_copy_number|spermidine_gdf15,aging clocks|inflammation signaling|cytokine signaling|mitochondrial maintenance,genomic instability|inflammaging|mitochondrial dysfunction|cellular senescence,C(CCNCCCN)CN,,pending_selfies_conversion
mol_query_resveratrol,resveratrol,Resveratrol,train,single_molecule,1,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,stress-response signaling and metabolic modulation,CRP|IL6|HOMA-IR|TNF-alpha|fasting glucose|triglycerides,resveratrol_crp|resveratrol_il6|resveratrol_homa_ir|resveratrol_tnf_alpha|resveratrol_fasting_glucose|resveratrol_triglycerides,inflammation signaling|cytokine signaling|insulin signaling|glucose metabolism,inflammaging|deregulated nutrient sensing,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,,pending_selfies_conversion
