epoch,total_loss,bce_loss,triplet_loss,val_mrr@10
1,1.828155,1.604792,0.223362,0.346117
2,1.533874,1.495141,0.038733,0.47877
3,1.437859,1.424798,0.01306,0.481548
4,1.37983,1.374128,0.005702,0.476871
5,1.336244,1.335986,0.000258,0.495408
6,1.301859,1.300889,0.00097,0.555612
7,1.265513,1.265404,0.000108,0.56318
8,1.239684,1.239684,0.0,0.584099
9,1.222256,1.222256,0.0,0.574575
10,1.207815,1.207815,0.0,0.593622
11,1.191894,1.191894,0.0,0.603345
12,1.183621,1.183621,0.0,0.60754
13,1.175434,1.175434,0.0,0.610516
14,1.160511,1.1593,0.001211,0.535402
15,1.153858,1.153573,0.000285,0.602041
16,1.14553,1.14499,0.000539,0.59195
17,1.139154,1.138894,0.00026,0.602466
18,1.130885,1.130885,0.0,0.605442
